"TRE_CN","PREV_TRE_CN","PLT_CN","STATECD","SPCD","DIA","DIAHTCD","TREE_SIZE","TREECLCD","SUBPTYP","VOLCFSND","VOLCFNET","VOLCSNET","VOLBFNET","REGIONAL_DRYBIOT","REGIONAL_DRYBIOM","REGIONAL_DRYBIOSL","DRYBIO_BG","DRYBIO_AG","DRYBIO_WDLD_SPP","DRYBIO_SAPLING","DRYBIO_STUMP","DRYBIO_BOLE","DRYBIO_SAWLOG","DRYBIO_TOP","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"31283607020004","73999330010538","222444723010661",39,318,6.7,1,"SMALL",2,1,4.222735,4.094773,,,346.951817,307.662723,,5.00254471246516088569357438898857779365E01,2.52531676247075688357601314481850325425E02,,,1.40267142219865929163652672717320444571E01,169.75637929536,,6.87485827297290954412360472101182809675E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31283616020004","73999348010538","222444723010661",39,531,5.6,1,"SMALL",2,1,1.789527,1.717222,,,222.750085,197.525692,,2.10542900520832107233210383050681823892E01,1.05106315293433323953319364830899191294E02,,,6.50070113998385151874311680986816679868E00,67.02222417696,,3.15833899764894724345762480210310244955E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31292266020004","73960758010538","222444725010661",39,804,7.2,1,"SMALL",2,1,4.386884,4.121012,,,329.618523,292.292265,,5.7410931970490092170984286515777380047E01,2.9094924597726423786319479900626344669E02,,,1.76616851566403321556560280115362573353E01,199.2838568448,,7.4003703975823905707538770994727189355E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31283667020004","73999475010538","222444727010661",39,901,5.8,1,"SMALL",2,1,2.314406,2.220895,,,143.534606,127.280635,,3.14912913950317264511315144408553232007E01,1.57579192848840288387042533505969006369E02,,,1.42215325513280241607377424240844005824E01,101.5987203504,,4.17589399471122642263047910818846057867E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31283682020004","73999505010538","222444727010661",39,901,5.6,1,"SMALL",3,1,1.718713,1.470651,,,130.554989,115.77084,,2.3701390129299978993860566119251422137E01,1.18321053697860703772291319862806927682E02,,,1.08652356540777973721746372229521033803E01,75.4487507592,,3.20070672845829064001166826398548243017E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31290745020004","73955148010538","222444729010661",39,407,6.6,1,"SMALL",2,1,3.896251,3.817539,,,262.404676,232.689766,,5.43755652331618014598816396886212673052E01,2.7425681008456837818510795292785863671E02,,,1.78694911593053522562818651035302882643E01,183.60880232448,,7.27785166007830259288260878243283484463E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31290748020004","73955110010538","222444729010661",39,402,12.53,1,"LARGE",2,1,26.870893,24.428084,17.97907,91.648074,1250.910174,1123.53122,8.26918986014842588555041811711471108418E02,2.95265021545688648334783637881231601258E02,1.52967714384893547080543394076337036926E03,,,6.94174149958301214213885829623956315001E01,1167.0136313472,8.1472351967238956681313884592972924141E02,2.93246097505905349384045357800974737757E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"211866770020004","167756041010661","247063366010661",39,544,1.3,1,"SAPLING",2,2,,,,,4.916273,,,7.92371763444478155655087752749217700884E-01,3.02107524084048845673837350958820224347E00,,3.02107524084048845673837350958820224347E00,,,,,"",2019-06-13,"126144","",2019-06-13,"126144"
"211866771020004","167756042010661","247063366010661",39,544,1,1,"SAPLING",3,2,,,,,2.60114,,,4.44782730069623815007438834266645271128E-01,1.45071537926633215413491172973460545984E00,,1.45071537926633215413491172973460545984E00,,,,,"",2019-06-13,"126144","",2019-06-13,"126144"
"211866776020004","167756046010661","247063366010661",39,402,8.8,1,"SMALL",2,1,9.381475,9.002426,,,506.630146,449.258953,,1.11056724263110860187284422168997493404E02,5.68170373274614302836306502812184026583E02,,,3.01104716285509805718810838750650067486E01,407.44121184,,1.30618689806063322264425418937119019834E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"211866802020004","167746332010661","247063371010661",39,316,5.4,1,"SMALL",2,1,1.634676,1.568629,,,136.740384,121.255797,,1.76060182895100678643507620836011473008E01,8.766998894744284763118909093377988648E01,,,4.97875969646860642089049775248823088435E00,55.24524854784,,2.74459807031342412102985931812916555957E01,"",2019-06-13,"126144","",2019-06-13,"126144"
